walshja01,2021,1,LAA,AL,144,530,70,147,34,1,29,98,2,1,48,152,6,4,0,3,7,,0.277358491
arozara01,2021,1,TBA,AL,141,529,94,145,32,3,20,69,20,10,56,170,4,14,0,5,9,,0.274102079
bogaexa01,2021,1,BOS,AL,144,529,90,156,34,1,23,79,5,1,62,113,2,5,0,7,13,,0.29489603
chapmma01,2021,1,OAK,AL,151,529,75,111,15,3,27,72,3,2,80,202,0,4,0,9,6,,0.209829868
mcmahry01,2021,1,COL,NL,151,528,80,134,32,1,23,86,6,2,59,147,2,4,0,5,14,,0.253787879
anderti01,2021,1,CHA,AL,123,527,94,163,29,2,17,61,18,7,22,119,1,1,0,1,5,,0.309297913
storytr01,2021,1,COL,NL,142,526,88,132,34,5,24,75,20,6,53,139,2,11,0,5,7,,0.25095057
renfrhu01,2021,1,BOS,AL,144,521,89,135,33,0,31,96,1,2,44,130,0,1,0,6,6,,0.259117083
moncayo01,2021,1,CHA,AL,144,520,74,137,33,1,14,61,3,2,84,157,1,10,0,2,6,,0.263461538
canhama01,2021,1,OAK,AL,141,519,93,120,22,4,17,61,12,2,77,128,0,27,0,2,9,,0.231213873
meadoau01,2021,1,TBA,AL,142,518,79,121,29,3,27,106,4,3,59,122,3,6,0,8,4,,0.233590734
newmake01,2021,1,PIT,NL,148,517,50,117,22,3,5,39,6,1,27,41,3,1,6,3,7,,0.226305609
blackch02,2021,1,COL,NL,150,514,76,139,25,4,13,78,3,0,54,91,1,11,0,3,8,,0.270428016
segurje01,2021,1,PHI,NL,131,514,76,149,27,3,14,58,9,3,39,78,3,9,1,4,16,,0.289883268
grichra01,2021,1,TOR,AL,149,511,59,123,25,1,22,81,0,3,27,114,0,3,0,4,17,,0.240704501
stantmi03,2021,1,NYA,AL,139,510,64,139,19,0,35,97,0,0,63,157,1,3,0,3,22,,0.27254902
hosmeer01,2021,1,SDN,NL,151,509,53,137,28,0,12,65,5,4,48,99,2,5,1,2,13,,0.269155206
hernaen02,2021,1,BOS,AL,134,508,84,127,35,3,20,60,1,0,61,110,0,9,0,7,4,,0.25
tayloch03,2021,1,LAN,NL,148,507,92,129,25,4,20,73,13,1,63,167,2,8,1,3,5,,0.25443787
